"lat" "lng" "bearing" "speed" "user_id" "time" "wday" "time_to_wifi"
"59" 40.3463 -74.6581 0.11 0.375 3 82811.114000082 1 0
"60" 40.3444 -74.657 55.8984 1.25 1 81359.4930000305 1 300
"61" 40.3469 -74.6601 307.969 0.5 1 84772.8029999733 1 600
"62" 40.3463 -74.6582 8.75 2.4375 3 80105.2829999924 1 0
"63" 40.3464 -74.6584 9.3 0.75 3 83466.4019999504 1 0
"64" 40.3464 -74.6583 0.67 0.6875 3 83704.0209999084 1 0
"65" 40.3463 -74.6582 357.49 0.5625 3 1144.92199993134 2 0
"66" 40.3453 -74.6544 57.6562 0.75 1 81532.6300001144 1 120
"67" 40.3449 -74.6602 152.227 1.5 1 85432.6659998894 1 300
"68" 40.3496 -74.6531 89 0.31275 2 43816.135999918 2 180
"69" 40.343 -74.6603 226.055 0.25 1 57716.0920000076 2 300
"70" 40.3462 -74.6582 38.66 0.5 3 849.740000009537 2 0
"71" 40.3499 -74.6595 255.234 0.75 1 57877.9849998951 3 600
"72" 40.3456 -74.6606 139.219 1 1 85374.6240000725 1 360
"73" 40.3463 -74.6522 167 1.1259 2 50239.6740000248 2 0
"74" 40.3438 -74.6588 243.984 0.5 1 57535.1150000095 2 480
"75" 40.3464 -74.6581 356.93 1.75 3 81726.8440001011 1 0
"76" 40.3463 -74.658 355.29 0.4375 3 84248.0610001087 1 0
"77" 40.3464 -74.6582 356.67 1.125 3 125.19000005722 2 0
"78" 40.3464 -74.6579 25.15 1.125 3 247.729000091553 2 0
"79" 40.3464 -74.6581 11.28 0.3125 3 85750.0840001106 1 0
"80" 40.3464 -74.6581 288.45 1.25 3 370.519999980927 2 0
"81" 40.3464 -74.6582 347.14 1.0625 3 85870.4979999065 1 0
"82" 40.3463 -74.658 7.87 1.25 3 85990.986000061 1 0
"83" 40.3463 -74.6582 24.13 1.375 3 85150.3180000782 1 0
"84" 40.3463 -74.6581 69.74 1 3 85210.1380000114 1 0
"85" 40.3464 -74.6582 347.92 0.8125 3 86108.8849999905 1 0
"86" 40.3466 -74.6581 169.09 0.3125 3 8.42499995231628 2 0
"87" 40.3463 -74.658 7.22 0.6875 3 85328.8010001183 1 0
"88" 40.3464 -74.6581 54.32 0.625 3 70.9869999885559 2 0
"89" 40.3463 -74.6582 22.07 0.5 3 85448.0799999237 1 0
"90" 40.3461 -74.6604 335 0.81315 2 5369.00999999046 0 0
"91" 40.3494 -74.653 355.21 1.8125 3 46657.2460000515 3 180
"92" 40.3486 -74.6537 0.23 0.375 3 63145.4289999008 3 180
"93" 40.3464 -74.658 5.77 0.1875 3 3688.77600002289 4 0
"94" 40.3464 -74.6582 6.8 0.5625 3 13768.7309999466 4 0
"95" 40.3463 -74.6581 64.58 0.8125 3 84506.9960000515 4 540
"96" 40.3464 -74.6581 3.53 1.5 3 9986.87700009346 5 60
"97" 40.3463 -74.6583 305.95 1.6875 3 11133.3650000095 5 0
"98" 40.3462 -74.6582 1.63 1.5 3 13407.1740000248 5 0
"99" 40.3464 -74.6581 1 2.25 3 16707.1719999313 5 0
"100" 40.3464 -74.6582 359.53 0.5 3 19113.1909999847 5 0
"101" 40.3464 -74.6581 12.35 0.75 3 27268.8029999733 5 0
"102" 40.3502 -74.6524 359.54 0.625 3 55526.7699999809 3 60
"103" 40.3485 -74.6605 358.08 0.6875 3 57211.8199999332 3 0
"104" 40.348 -74.66 0.8 0.6875 3 62666.5969998837 3 60
"105" 40.3498 -74.6529 5.57 1 3 71011.2049999237 3 0
"106" 40.3462 -74.6581 263.19 1.25 3 698.207000017166 4 0
"107" 40.3464 -74.6583 22.31 1.75 3 5968.81900000572 4 0
"108" 40.3464 -74.6583 218.24 2.0625 3 9451.61199998856 4 0
"109" 40.3496 -74.6531 357.05 1.4375 3 57573.9879999161 4 0
"110" 40.3501 -74.6528 358.16 1.125 3 62428.9370000362 4 0
"111" 40.3464 -74.6581 6.31 0.875 3 2787.15799999237 5 0
"112" 40.3464 -74.6583 6.64 1.0625 3 27688.7060000896 5 0
"113" 40.3476 -74.6543 114 0.43785 2 61111.4119999409 4 0
